資料範圍,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管占比,職業災害人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數),風險等級,漂綠標籤,網絡中心性,異常標籤
上市,2021,1442,名軒,1237.0,1022.0,871.0,808.0,0.5,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1443,立益物流,784.0,664.0,604.0,574.0,0.1494,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1444,力麗,690.0,565.0,563.0,488.0,0.2273,7.0,0.0075,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1445,大宇,676.0,571.0,539.0,471.0,0.2,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1446,宏和,685.0,574.0,577.0,476.0,0.1463,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1447,力鵬,735.0,591.0,555.0,499.0,0.2373,3.0,0.0057,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1449,佳和,588.0,492.0,503.0,482.0,0.317,2.0,0.0023,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1451,年興,744.0,634.0,595.0,526.0,0.22,1.0,0.0012,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1452,宏益,959.0,823.0,740.0,626.0,0.33,17.0,0.0711,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1453,大將,727.0,598.0,498.0,479.0,0.25,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1454,台富,649.0,541.0,515.0,449.0,0.068,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1455,集盛,827.0,701.0,691.0,587.0,0.1193,4.0,0.0033,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1456,怡華,881.0,746.0,623.0,626.0,0.125,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1457,宜進,914.0,737.0,600.0,589.0,0.555,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1459,聯發,694.0,575.0,499.0,447.0,0.1429,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1460,宏遠,707.0,580.0,543.0,501.0,0.03,21.0,0.01,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1463,強盛新,626.0,536.0,537.0,500.0,0.1707,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1464,得力,639.0,545.0,535.0,494.0,0.3157,11.0,0.0139,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1465,偉全,510.0,414.0,462.0,428.0,0.25,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1466,聚隆,765.0,647.0,651.0,600.0,0.35,2.0,0.0055,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1467,南緯,786.0,640.0,696.0,597.0,0.61,2.0,0.01,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1468,昶和,802.0,667.0,557.0,507.0,0.2,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1470,大統新創,756.0,660.0,591.0,521.0,0.343,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1471,首利,1085.0,925.0,760.0,762.0,0.25,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1472,三洋實業,665.0,548.0,426.0,354.0,0.4,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1473,台南,725.0,623.0,532.0,451.0,0.77,2.0,0.0001,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1474,弘裕,727.0,629.0,572.0,505.0,0.1423,1.0,0.0021,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1475,業旺,839.0,702.0,529.0,495.0,0.1,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1476,儒鴻,1080.0,943.0,879.0,760.0,0.36,6.0,0.0033,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1477,聚陽,1924.0,1747.0,1348.0,1226.0,0.5,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1503,士電,1204.0,1063.0,1016.0,841.0,0.0816,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1504,東元,1059.0,910.0,877.0,717.0,0.2159,2.0,0.0009,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1506,正道,727.0,597.0,521.0,466.0,0.4167,1.0,0.0004,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1512,瑞利,634.0,513.0,537.0,492.0,0.1667,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1513,中興電,956.0,796.0,809.0,702.0,0.15,3.0,0.0018,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1514,亞力,984.0,838.0,825.0,725.0,0.0156,1.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1515,力山,591.0,510.0,563.0,486.0,0.1401,98.0,0.0573,0,0.0,0.0,0.0,高風險,漂綠,0.0005330490405117271,正常
上市,2021,1516,川飛,845.0,749.0,521.0,694.0,0.0,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1517,利奇,605.0,504.0,534.0,502.0,0.0845,5.0,0.006,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1519,華城,1016.0,861.0,826.0,708.0,0.1333,5.0,0.0055,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1521,大億,729.0,604.0,613.0,565.0,0.1222,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1522,堤維西,668.0,549.0,575.0,525.0,0.2,16.0,0.01,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1524,耿鼎,654.0,546.0,521.0,458.0,0.0816,4.0,0.0089,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1525,江申,690.0,570.0,580.0,519.0,0.19,1.0,0.003,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1526,日馳,859.0,748.0,598.0,415.0,0.2,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1527,鑽全,725.0,625.0,607.0,540.0,0.0081,8.0,0.0108,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
上市,2021,1528,恩德,978.0,861.0,657.0,572.0,0.0408,0.0,0.0,0,0.0,0.0,0.0,中風險,正常,0.0005330490405117271,正常
