市場別,年份,公司代號,公司名稱,董事席次,獨立董事席次,女性董事席次,女性董事比例,董事會出席率,董事進修比率,網絡中心性,風險等級,漂綠標籤,異常標籤
上市,2021,1786,科妍,9.0,3.0,1.0,0.1111,0.9778,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1789,神隆,15.0,3.0,3.0,0.2,0.981,1.0,0.0005330490405117271,中風險,正常,異常
上市,2021,1795,美時,9.0,3.0,1.0,0.1111,0.9091,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1802,台玻,15.0,3.0,1.0,0.0667,0.967,0.533,0.0005330490405117271,中風險,正常,異常
上市,2021,1805,寶徠,9.0,3.0,1.0,0.1111,0.9074,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1806,冠軍,7.0,3.0,1.0,0.1429,1.0,0.4286,0.0005330490405117271,低風險,正常,正常
上市,2021,1808,潤隆,7.0,3.0,1.0,0.1429,0.9643,0.4286,0.0005330490405117271,低風險,正常,正常
上市,2021,1809,中釉,9.0,3.0,1.0,0.1111,0.9844,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1810,和成,7.0,3.0,0.0,0.0,0.7755,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,1817,凱撒衛,8.0,4.0,1.0,0.125,0.96,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1903,士紙,7.0,3.0,2.0,0.2857,0.88,0.2857,0.0005330490405117271,低風險,正常,正常
上市,2021,1904,正隆,9.0,3.0,1.0,0.11,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1905,華紙,9.0,3.0,0.0,0.0,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1906,寶隆,5.0,2.0,1.0,0.2,0.8769,0.6,0.0005330490405117271,低風險,正常,正常
上市,2021,1907,永豐餘,9.0,4.0,2.0,0.222,0.951,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,1909,榮成,9.0,3.0,0.0,0.0,0.9714,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,2002,中鋼,11.0,3.0,1.0,0.0909,0.987,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,2006,東和鋼鐵,11.0,3.0,0.0,0.0,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,2007,燁興,7.0,3.0,0.0,0.0,0.91,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,2008,高興昌,9.0,3.0,1.0,0.1111,0.963,0.6667,0.0005330490405117271,中風險,正常,正常
上市,2021,2009,第一銅,7.0,3.0,1.0,0.1429,0.881,0.8889,0.0005330490405117271,低風險,正常,正常
上市,2021,2010,春源,11.0,3.0,1.0,0.09,0.93,0.36,0.0005330490405117271,中風險,正常,正常
上市,2021,2012,春雨,8.0,3.0,1.0,0.125,0.9643,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,2013,中鋼構,11.0,3.0,1.0,0.09,0.97,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,2014,中鴻,7.0,3.0,1.0,0.1429,0.9841,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,2015,豐興,13.0,3.0,0.0,0.0,0.956,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,2017,官田鋼,11.0,2.0,1.0,0.0909,0.87,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,2020,美亞,9.0,3.0,1.0,0.11,0.957,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,2022,聚亨,5.0,3.0,1.0,0.2,0.9,0.0,0.0005330490405117271,低風險,正常,正常
上市,2021,2023,燁輝,7.0,3.0,0.0,0.0,0.9683,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,2024,志聯,7.0,3.0,3.0,0.4285,1.0,0.8571,0.0005330490405117271,低風險,正常,正常
上市,2021,2025,千興,6.0,2.0,2.0,0.3333,1.0,0.15,0.0005330490405117271,低風險,正常,正常
上市,2021,2027,大成鋼,11.0,3.0,3.0,0.2727,0.9,0.91,0.0005330490405117271,中風險,正常,正常
上市,2021,2028,威致,7.0,3.0,2.0,0.2857,0.8571,0.7142,0.0005330490405117271,低風險,正常,正常
上市,2021,2029,盛餘,10.0,3.0,0.0,0.0,0.98,0.3,0.0005330490405117271,中風險,正常,正常
上市,2021,2030,彰源,7.0,3.0,0.0,0.0,0.9871,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,2031,新光鋼,9.0,3.0,0.0,0.0,0.984,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,2032,新鋼,9.0,3.0,1.0,0.1111,0.9306,0.3333,0.0005330490405117271,中風險,正常,正常
上市,2021,2033,佳大,7.0,3.0,2.0,0.2857,0.8095,0.0,0.0005330490405117271,低風險,正常,正常
上市,2021,2034,允強,9.0,4.0,1.0,0.111,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,2038,海光,9.0,3.0,0.0,0.0,0.963,0.0,0.0005330490405117271,中風險,正常,正常
上市,2021,2049,上銀,9.0,3.0,3.0,0.3333,1.0,1.0,0.0005330490405117271,中風險,正常,正常
上市,2021,2059,川湖,7.0,4.0,2.0,0.2857,1.0,0.5714,0.0005330490405117271,低風險,正常,正常
上市,2021,2062,橋椿,7.0,3.0,2.0,0.2857,0.9762,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,2069,運錩,7.0,3.0,1.0,0.1428,0.9762,1.0,0.0005330490405117271,低風險,正常,正常
上市,2021,2101,南港,9.0,3.0,5.0,0.5556,0.8876,0.8889,0.0005330490405117271,中風險,正常,正常
上市,2021,2102,泰豐,9.0,3.0,1.0,0.1111,0.9558,0.3333,0.0005330490405117271,中風險,正常,正常
上市,2021,2103,台橡,7.0,3.0,1.0,0.14,1.0,1.0,0.0005330490405117271,低風險,正常,正常
