市場別,報告年度,公司代號,公司名稱,再生能源使用率,資料範圍,驗證狀態,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1519,華城,0.0894,僅母公司,ISO 14001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,1521,大億,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1522,堤維西,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1524,耿鼎,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1525,江申,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1526,日馳,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1527,鑽全,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1528,恩德,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1529,樂事綠能,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1530,亞崴,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1531,高林股,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1532,勤美,0.97,勤美金屬成型事業處,Unknown,0.0012067578439259854,無漂綠跡象,高風險,正常
上市,2021,1533,車王電,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1535,中宇,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1536,和大,7.6813,僅母公司,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,1537,廣隆,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1538,正峰,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1539,巨庭,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1540,喬福,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1541,錩泰,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1558,伸興,0.0,合併財務報表之母子公司,ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,1560,中砂,0.0,nan,ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,1568,倉佑,0.0,僅母公司,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1582,信錦,0.0,nan,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,1583,程泰,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1587,吉茂,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1589,永冠-KY,0.0,nan,ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,1590,亞德客-KY,2.3267,包含三個生產工廠，已涵蓋集團90%以上的排放量,Unknown,0.0012067578439259854,無漂綠跡象,高風險,正常
上市,2021,1597,直得,3.7,母公司,Unknown,0.0008045052292839903,無漂綠跡象,高風險,正常
上市,2021,1598,岱宇,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1603,華電,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1604,聲寶,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1605,華新,0.0,nan,ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,1608,華榮,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1609,大亞,0.0,nan,ISO 9001,0.0012067578439259854,無漂綠跡象,低風險,正常
上市,2021,1611,中電,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1612,宏泰,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1614,三洋電,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1615,大山,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1616,億泰,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1617,榮星,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1618,合機,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1626,艾美特-KY,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1702,南僑,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1707,葡萄王,0.0,葡萄王生技、葡眾企業,ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,1708,東鹼,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1709,和益,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1710,東聯,0.0,1.2022年 H2已規劃建置太陽能光電系統（約87KW)。 2.2025年底前購買10%再生能源電力及憑證，以符合法令要求。,ISO 9001,0.0012067578439259854,無漂綠跡象,低風險,正常
上市,2021,1711,永光,0.0,nan,ISO 14001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,1712,興農,0.0,母公司王田廠區(王田廠、王田二廠、生物工廠),Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1713,國化,0.0,屏南分公司,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1714,和桐,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1717,長興,0.009,包含合併財務報表之母子公司,ISO 9001,0.0012067578439259854,無漂綠跡象,低風險,正常
上市,2021,1718,中纖,0.0,nan,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,1720,生達,7.2,生達一廠+生達二廠,Unknown,0.00040225261464199515,無漂綠跡象,高風險,正常
上市,2021,1721,三晃,0.0,nan,ISO 14001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,1722,台肥,4.4,僅計算母公司台中廠、苗栗廠電力使用再生發電比例,ISO 9001,0.0012067578439259854,無漂綠跡象,低風險,正常
上市,2021,1723,中碳,0.0,nan,ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,1725,元禎,0.0,母公司,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1726,永記,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1727,中華化,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
