市場別,報告年度,公司代號,公司名稱,法說會次數,治理專區連結,網絡中心性,風險等級,異常標籤
上市,2021,1904,正隆,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1905,華紙,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,1906,寶隆,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1907,永豐餘,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,1909,榮成,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2002,中鋼,5.0,0,0.0005330490405117271,中風險,正常
上市,2021,2006,東和鋼鐵,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2007,燁興,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2008,高興昌,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2009,第一銅,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2010,春源,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2012,春雨,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2013,中鋼構,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2014,中鴻,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,2015,豐興,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,2017,官田鋼,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2020,美亞,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2022,聚亨,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2023,燁輝,3.0,0,0.0005330490405117271,中風險,正常
上市,2021,2024,志聯,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2025,千興,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2027,大成鋼,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2028,威致,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2029,盛餘,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2030,彰源,1.0,0,0.0005330490405117271,低風險,正常
