市場別,報告年度,公司代號,公司名稱,用水量,資料範圍,用水密集度,用水密集度-單位,驗證狀態,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1516.0,川飛,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1517.0,利奇,850.0,母公司,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1519.0,華城,33661.0,僅母公司,5.36,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1521.0,大億,0.0,nan,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1522.0,堤維西,108651.0,110年,957.4,營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1524.0,耿鼎,73107.0,母子公司,0.0429,烤漆數量,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1525.0,江申,19584.0,母公司,15.35,噸/百萬元營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1526.0,日馳,12896.0,母公司,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1527.0,鑽全,22594.0,110年,502.0888,營業額,ISO 14001,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1528.0,恩德,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1529.0,樂事綠能,0.0,nan,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1530.0,亞崴,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1531.0,高林股,0.0,nan,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1532.0,勤美,129319.0,勤美金屬成型事業處,5.67,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1533.0,車王電,30.0,母公司,30.0,產值,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1535.0,中宇,0.0,nan,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1536.0,和大,149646.0,僅母公司,22.38,百萬營業額,ISO 14001,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1537.0,廣隆,324636.0,包含合併財務報表之母子公司,17.86,仟元營業額/噸,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1538.0,正峰,0.0,nan,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1539.0,巨庭,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1540.0,喬福,2.177,110/01-110/12,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1541.0,錩泰,59196.0,僅母公司,0.0095,營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1558.0,伸興,271676.0,合併財務報表之母子公司,0.0705,產品,ISO 14001,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1560.0,中砂,1464402.6,母公司,267.75,百萬元營業額,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1568.0,倉佑,16815.0,僅母公司,14.06,百萬營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1582.0,信錦,0.0,nan,0.0,,ISO 9001,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1583.0,程泰,40.62,110/01-110/12,0.0,,Unknown,0.001183431952662722,無漂綠跡象,高風險,正常
上市,2021,1587.0,吉茂,45949.0,110年,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1589.0,永冠-KY,318277.0,合併財務報表之子公司,1.59,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1590.0,亞德客-KY,852140.0,包含三個生產工廠，已涵蓋集團90%以上的排放量,53.96,每百萬元產值,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1597.0,直得,36038.0,母公司,24.9,每百萬營業額,ISO 14001,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1598.0,岱宇,21787.0,本公司彰化一廠、二廠、五廠、台中辦公室,0.0032,營業額仟元,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1603.0,華電,0.0,nan,0.0,,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1604.0,聲寶,0.0,nan,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1605.0,華新,16409420.0,"臺灣區：楊梅廠、新莊廠、鹽水廠、臺中廠。
 海外區：東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密",12.0,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1608.0,華榮,41248.0,涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區,5.62,百萬營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1609.0,大亞,106174.0,大亞電線電纜,7.8,營業額,ISO 9001,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1611.0,中電,4984.0,工廠,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1612.0,宏泰,64843.0,僅母公司,0.0,,ISO 14001,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1614.0,三洋電,59147.0,母子公司,10.6375,噸/百萬元,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1615.0,大山,9299.0,母公司,2.0,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1616.0,億泰,15895.0,母公司,5.31,營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1617.0,榮星,0.0,nan,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1618.0,合機,22567.0,110年1-12月一.二.三廠自來水使用量22567噸,0.0,,ISO 14001,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1626.0,艾美特-KY,277845.0,營運地深圳艾美特+九江艾美特,277845.0,營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1702.0,南僑,1628537.0,資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,0.0825,營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1707.0,葡萄王,280430.0,葡萄王生技、葡眾企業,34.8,每百萬營收,ISO 14001,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1708.0,東鹼,719840.81,僅母公司,150.12,百萬營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1709.0,和益,110072.0,僅母公司林園工廠,16.67,百萬營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1710.0,東聯,2105620.0,母公司,0.143,營業額；單位：公噸/仟元,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1711.0,永光,824460.0,合併財務報表之生產型廠區,88.5,百萬元產值,ISO 14001,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1712.0,興農,718567.0,母公司王田廠區(王田廠、王田二廠、生物工廠),65.7,植物保護產品佰萬元銷售額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1713.0,國化,84820.0,屏南分公司,84820.0,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1714.0,和桐,17579.0,高雄仁武廠,0.58,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1717.0,長興,1227720.0,包含合併財務報表之母子公司,1.802,產品(公噸),ISO 14001,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1718.0,中纖,2035579.0,110年度總用水量,3.5497,營業額573445.0898萬元,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1720.0,生達,147206.0,生達一廠+生達二廠,5187.0,營業額,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1721.0,三晃,194928.0,母公司,7.94,產品,ISO 14001,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1722.0,台肥,39486000.0,母公司台中廠、苗栗廠、花蓮廠,41.71,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1723.0,中碳,336000.0,小港廠+屏南廠,336000.0,營業額,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1725.0,元禎,1847.0,母公司,0.2209,百萬元營業額,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1726.0,永記,61190.0,20210101-20211231,0.0,營業額,ISO 14001,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1727.0,中華化,404.185,桃園一廠、桃園二廠、彰化廠,0.0021,單位：百萬公升/產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1730.0,花仙子,18780.0,母公司,5.98,營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1731.0,美吾華,23348.0,台北總公司、台中及高雄服務中心、楊梅工廠及物流中心,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1732.0,毛寶,20939.0,母公司,33.805,噸CO2e/百萬營收,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1733.0,五鼎,63526.0,母公司,0.0182,營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1734.0,杏輝,129583.0,母公司,0.0601,營業額仟元,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1735.0,日勝化,42476.0,母公司,2.2139,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1736.0,喬山,0.0,nan,0.0,,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1737.0,臺鹽,12125453.0,臺鹽總公司、妝品廠、保健廠、通霄廠、儲運所、七股鹽場共6場域,58.649,產品,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1752.0,南光,110107.0,總公司年度總用水量，含民生用水,6185.7865,營業額,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1760.0,寶齡富錦,21100.0,寶齡富錦生技股份有限公司平鎮廠,0.0376,每仟元產值,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1762.0,中化生,36103.0,母公司,0.2,產品,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
上市,2021,1773.0,勝一,344005.0,母公司,1.5922,產品,Unknown,0.0002958579881656805,無漂綠跡象,高風險,正常
上市,2021,1776.0,展宇,2670.0,範圍為母公司(第一廠及第二廠),3.5224,以佰萬元營業額為單位,Unknown,0.0008875739644970415,無漂綠跡象,高風險,正常
上市,2021,1783.0,和康生,14262.0,合併財務報表之母子公司,0.0,,Unknown,0.000591715976331361,無漂綠跡象,高風險,正常
