市場別,報告年度,公司代號,公司名稱,薪酬委員會席次,薪酬委員會獨立董事席次,薪酬委員會出席率,審計委員會席次,審計委員會出席率,網絡中心性,風險等級,漂綠標籤,異常標籤
上市,2023,1707,葡萄王,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1708,東鹼,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1709,和益,3,3,0.889,4,0.7,0.0005452562704471102,低風險,正常,正常
上市,2023,1710,東聯,3,2,0.83,3,0.92,0.0005452562704471102,低風險,正常,正常
上市,2023,1711,永光,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1712,興農,3,3,0.8889,3,0.9444,0.0005452562704471102,低風險,正常,正常
上市,2023,1713,國化,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1714,和桐,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1717,長興,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1718,中纖,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1720,生達,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1721,三晃,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1722,台肥,3,2,0.9334,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1723,中碳,3,3,1.0,3,0.94,0.0005452562704471102,低風險,正常,正常
上市,2023,1725,元禎,2,1,0.8333,3,0.9,0.0005452562704471102,低風險,正常,異常
上市,2023,1726,永記,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1727,中華化,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,異常
上市,2023,1730,花仙子,3,3,0.9333,3,0.9444,0.0005452562704471102,低風險,正常,正常
上市,2023,1731,美吾華,4,4,1.0,4,0.9286,0.0005452562704471102,中風險,正常,正常
上市,2023,1732,毛寶,3,3,0.89,4,0.86,0.0005452562704471102,低風險,正常,正常
上市,2023,1733,五鼎,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1734,杏輝,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1735,日勝化,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1736,喬山,3,2,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1737,臺鹽,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1752,南光,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1760,寶齡富錦,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
