"報告年度:2022","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物量(公噸)-有害廢棄物量(公噸)","非有害廢棄物(公噸)-非有害廢棄物(公噸)","總重量(有害+非有害)(公噸)-總重量(有害+非有害)(公噸)","資料範圍-資料範圍","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","取得驗證-取得驗證"
"=""1808""","潤隆","0.0000","18460.0300","18460.0300","本公司基隆德安A、B、C區建案","無，無統計相關數據","",""
"=""1809""","中釉","16.2200","132.1800","148.4000","僅母公司","148.4000","產品",""
"=""1810""","和成","9.7000","3661.0000","3670.7000","母公司","0.9721","百萬元營業額","ISO 14001"
"=""1817""","凱撒衛","0.0000","0.0000","82.0800","台灣地區","0.0300","百萬元營業額",""
"=""1903""","士紙","無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。","無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。","無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。","","無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。","",""
"=""1904""","正隆","0.0000","335986.0000","335986.0000","母公司","0.2310","噸/噸(工紙、家品、紙與紙板)",""
"=""1905""","華紙","0.0000","255767.0000","255767.0000","華紙合併財報之台灣、大陸生產據點","無，因非GRI準則規範，並未於永續報告書中公開廢棄物密集度資訊。","",""
"=""1906""","寶隆","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1907""","永豐餘","369.0000","537374.0000","537743.0000","永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣、大陸、越南合計35個生產據點。","0.2700","產品",""
"=""1909""","榮成","27.6100","52980.3600","53007.9700","全台灣廠區","1.0008","百萬元營業額",""
"=""2002""","中鋼","58.3000","559748.4000","559806.7000","母公司","0.0663","廢棄物量(公噸)/鋼胚(公噸)","ISO 14001"
"=""2006""","東和鋼鐵","33601.0000","320186.0000","353787.0000","母公司生產廠區 (桃園廠、苗栗廠、高雄廠) 廢棄物處理","0.1680","公噸鋼胚產量","ISO 14001"
"=""2007""","燁興","243.0000","8030.0000","8273.0000","本公司","1.2100","百萬元營業額",""
"=""2008""","高興昌","0.0300","435.4000","435.4300","總公司(無子公司)含屏南廠","0.0087","產品","ISO 14001"
"=""2009""","第一銅","796.3350","335.3900","1131.7250","僅計算第一伸銅科技股份有限公司臨海廠","0.1060","產品","ISO 14001"
"=""2010""","春源","0.0000","12480.0000","12480.0000","台灣總公司及北中南各生產營業據點","0.0290","產品","ISO 14001"
"=""2012""","春雨","7907.8600","2219.5000","10127.3600","母公司","0.0018","千元營業額","ISO 14001"
"=""2013""","中鋼構","0.0000","1387.7000","1387.7000","僅母公司","無，無統計相關數據","",""
"=""2014""","中鴻","17744.4750","87346.8060","105091.2810","母公司","0.0428","產品",""
"=""2015""","豐興","32434.0000","354464.0000","386898.0000","僅母公司","10.0220","百萬元營業額","ISO 14001"
"=""2017""","官田鋼","0.0000","2583.9700","2583.9700","官田廠、麻豆廠","0.9500","百萬元營業額",""
"=""2020""","美亞","0.0000","0.0000","7200.6540","111年度","0.0012","營業額單位：千元營業額","ISO 14001"
"=""2022""","聚亨","1294.7900","1067.1900","2361.9800","母公司","0.0500","產品",""
"=""2023""","燁輝","160.0000","2988.0000","3148.0000","燁輝企業股份有限公司(僅母公司)","1.6000","百萬元營業額","確信準則 3000號"
"=""2024""","志聯","769.0000","175.0000","944.0000","廢酸+生活垃圾","0.8075","百萬元營業額","ISO 14001"
"=""2025""","千興","0.0000","0.0000","1213.7900","僅母公司","0.0010","千元營業額",""
"=""2027""","大成鋼","0.0000","715.5300","715.5300","僅母公司","0.0172","產品",""
