報告年度:2021,議題:廢棄物管理,議題:水資源管理,議題:溫室氣體排放,議題:能源管理,報告年度:2022,報告年度:2023
,,,,,,
新臺幣百萬元營收,AA1000 保證標準v3,,,,,
營業額,,,,,,
,,,,,,
,ISO 9001 .ISO 4001 .ISO45001 ; 採用ISAE3000及ISAE3410進行確信,,,,,
,ISO 14001,,,,,
,,,,,,
營業額,,,,,,
營業額,,,,,,
,,,,,,
,,,,,,
營業額,,,,,,
工時,,,,,,
MW,ISO 14001,,,,,
產品,,,,,,
,,,,,,
萬元產值，2021.1~2021.12訊芯電子科技(中山)有限公司及訊芸電子科技(中山)有限公司之廣東省中山市廠區,,,,,,
,ISO 14001,,,,,
,,,,,,
營業額,,,,,,
噸／員工人數,,,,,,
每百萬單位產品3.70公噸,,,,,,
原物料,ISO 14001,,,,,
百萬營業額,,,,,,
,ISO 14001,,,,,
產品,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
營業額,,,,,,
服務,ISO 14001,,,,,
產品,ISO9001及ISO14001,,,,,
營業額,ISO 14001,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
營業額,,,,,,
,ISO 14001,,,,,
產品,ISO 14001,,,,,
,,,,,,
千元營業額,,,,,,
,,,,,,
,,,,,,
,,,,,,
營業額,,,,,,
,ISO 14001,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
百萬營業額,,,,,,
噸/人數,,,,,,
公斤／8吋晶圓當量－層,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
平均每人產生,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
產品,ISO 14001,,,,,
營業額以仟元計算,,,,,,
產品,,,,,,
噸/百萬營業額,,,,,,
營業額,,,,,,
,,,,,,
營業額,,,,,,
,,,,,,
,ISO 14001,,,,,
營業額,ISO 14001,,,,,
,ISO 14001,,,,,
產品,,,,,,
,,,,,,
每億營業額,ISO 14001,,,,,
產品,,,,,,
百萬營業額,ISO 14001,,,,,
百萬營業額,,,,,,
營業額,,,,,,
營業額,ISO 14001,,,,,
,,,,,,
噸數/百萬營業額,,,,,,
,,,,,,
,,,,,,
服務,ISO 14001,,,,,
營業額,ISO 14001,,,,,
焚化量,ISO 14001,,,,,
百萬營業額,,,,,,
,,,,,,
,,,,,,
,,,,,,
百萬營收,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
人均廢棄物產出量：momo辦公室廢棄物總量(單位：公斤)/momo辦公室總人數,ISO 14001,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
百萬營業額,,,,,,
,ISO 9001,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
百萬營業額,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
百萬營業額,,,,,,
,,,,,,
產品,,,,,,
營業額每10萬元,,,,,,
每仟元美金產值,,,,,,
,ISO 14001,,,,,
,,,,,,
營業額單位為佰萬元,依據行政院環境保護署及有關機關之標準方法進行採樣、檢測。,,,,,
計算標準:排放量/每百萬元營收,,,,,,
營業額,,,,,,
產量(噸),,,,,,
單台,,,,,,
