"報告年度:2023","議題:董事會"
"公司代號","公司名稱"," 董事會席次(席)- 董事會席次(席)","獨立董事席次(席)-獨立董事席次(席)","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率","女性董事席次及比率-席","女性董事席次及比率-比率"
"=""4114""","健喬","8","4","100.00%","100.00%","3","37.50%"
"=""4116""","明基醫","9","3","100.00%","100.00%","0","0.00%"
"=""4120""","友華","3","4","94.29%","0.00%","2","28.57%"
"=""4121""","優盛","9","4","95.00%","77.78%","1","11.11%"
"=""4123""","晟德","9","3","97.44%","100.00%","5","55.56%"
"=""4126""","太醫","7","4","95.24%","85.71%","2","28.57%"
"=""4127""","天良","7","3","85.72%","100.00%","1","14.29%"
"=""4128""","中天","7","4","97.96%","100.00%","0","0.00%"
"=""4129""","聯合","9","4","98.41%","100.00%","1","11.11%"
"=""4130""","健亞","7","3","97.87%","100.00%","3","42.86%"
"=""4131""","浩泰","7","3","86.00%","29.00%","1","11.00%"
"=""4138""","曜亞","9","3","95.00%","100.00%","1","11.11%"
"=""4139""","馬光-KY","7","3","92.86%","100.00%","0","0.00%"
"=""4147""","中裕","9","3","88.89%","100.00%","2","22.22%"
"=""4153""","鈺緯","9","3","100.00%","100.00%","0","0.00%"
"=""4154""","樂威科-KY","7","3","87.30%","100.00%","0","0.00%"
"=""4157""","太景*-KY","9","3","96.83%","88.89%","0","0.00%"
"=""4160""","訊聯基因","7","3","91.43%","100.00%","1","14.29%"
"=""4161""","聿新科","13","3","100.00%","100.00%","3","23.08%"
"=""4162""","智擎","9","3","97.22%","100.00%","1","11.11%"
"=""4163""","鐿鈦","7","3","100.00%","100.00%","0","0.00%"
"=""4167""","松瑞藥","9","3","96.30%","100.00%","2","22.22%"
"=""4168""","醣聯","7","3","94.29%","100.00%","3","43.00%"
"=""4171""","瑞基","7","3","97.62%","100.00%","3","42.86%"
"=""4173""","久裕","9","3","94.44%","100.00%","1","11.11%"
"=""4174""","浩鼎","6","3","98.48%","100.00%","1","16.67%"
"=""4175""","杏一","7","4","100.00%","100.00%","2","28.57%"
"=""4183""","福永生技","9","3","100.00%","11.11%","1","11.11%"
"=""4188""","安克","13","4","92.31%","30.77%","4","30.77%"
"=""4192""","杏國","9","3","94.44%","100.00%","2","22.22%"
"=""4198""","欣大健康","9","3","96.30%","100.00%","2","22.22%"
"=""4205""","中華食","10","3","90.00%","0.00%","0","0.00%"
"=""4207""","環泰","6","3","85.19%","100.00%","1","11.00%"
"=""4303""","信立","7","3","97.87%","100.00%","3","42.86%"
"=""4304""","勝昱","8","3","92.50%","6.25%","2","25.00%"
"=""4305""","世坤","7","3","97.14%","42.86%","1","14.29%"
"=""4401""","東隆興","11","3","88.64%","0.00%","1","9.09%"
"=""4402""","福大","6","3","84.72%","0.00%","4","44.44%"
"=""4406""","新昕纖","6","3","95.92%","100.00%","0","0.00%"
"=""4413""","飛寶企業","6","3","95.12%","100.00%","0","0.00%"
"=""4416""","三圓","9","3","97.80%","33.33%","2","20.00%"
"=""4417""","金洲","7","3","93.88%","14.29%","3","42.86%"
"=""4419""","元勝","7","3","90.82%","100.00%","2","28.57%"
"=""4420""","光明","9","3","81.48%","100.00%","4","44.44%"
"=""4430""","耀億","7","3","94.29%","100.00%","0","0.00%"
"=""4432""","銘旺實","10","3","94.29%","100.00%","1","10.00%"
"=""4433""","興采","7","3","95.92%","100.00%","2","28.57%"
"=""4442""","竣邦-KY","7","3","100.00%","100.00%","0","0.00%"
"=""4502""","健信","6","2","89.09%","100.00%","2","33.33%"
"=""4503""","金雨","7","3","100.00%","100.00%","0","0.00%"
"=""4506""","崇友","7","3","93.88%","100.00%","2","28.57%"
"=""4510""","高鋒","9","3","97.00%","100.00%","1","11.00%"
"=""4513""","福裕","7","3","94.28%","100.00%","2","28.57%"
"=""4523""","永彰","9","3","95.06%","88.89%","1","11.11%"
"=""4527""","方方土霖","9","4","100.00%","100.00%","1","11.00%"
"=""4528""","江興鍛","7","4","100.00%","71.43%","2","28.57%"
"=""4529""","淳紳","6","3","100.00%","100.00%","1","17.00%"
"=""4530""","宏易","7","3","100.00%","100.00%","0","0.00%"
"=""4533""","協易機","7","3","100.00%","100.00%","2","28.57%"
"=""4534""","慶騰","7","3","100.00%","100.00%","0","0.00%"
"=""4535""","至興","10","3","96.67%","100.00%","2","20.00%"
"=""4538""","大詠城","7","3","100.00%","100.00%","1","28.58%"
"=""4541""","晟田","6","3","100.00%","100.00%","0","0.00%"
"=""4542""","科嶠","7","3","90.47%","100.00%","2","28.57%"
"=""4543""","萬在","7","3","100.00%","100.00%","1","14.28%"
"=""4549""","桓達","7","3","100.00%","100.00%","1","14.29%"
