"報告年度:2023","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體-數據(公噸CO₂e)","直接(範疇一)溫室氣體-資料邊界","直接(範疇一)溫室氣體-確信範圍","能源間接(範疇二)溫室氣體-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體-資料邊界","能源間接(範疇二)溫室氣體-確信範圍","其他間接(範疇三)溫室氣體-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體-資料邊界","其他間接(範疇三)溫室氣體-確信範圍","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)"
"=""3122""","笙泉","10.8548","母公司，排放量為自主盤查揭露","N/A","182.3862","母公司，排放量為自主盤查揭露","N/A","N/A","N/A","N/A","0.5205"
"=""3128""","昇銳","107.6411","包含合併財務報表之母子公司","N/A","502.5758","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A","0.6265"
"=""3131""","弘塑","60.0000","僅母公司","N/A","4,400.0000","僅母公司","N/A","0.0000","僅母公司","N/A",""
"=""3141""","晶宏","39.5980","母公司","N/A","273.1700","母公司","N/A","157.3070","母公司","N/A","0.2043"
"=""3147""","大綜","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3152""","璟德","54.0700","個別財報全部廠區","N/A","13,259.0700","個別財報全部廠區","N/A","N/A","N/A","N/A","8.9500"
"=""3162""","精確","84.4016","桃園工廠及台北辦公室","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0715"
"=""3163""","波若威","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3169""","亞信","0.5520","母公司","N/A","267.2200","母公司","N/A","N/A","N/A","N/A",""
"=""3171""","新洲","661.9877","僅母公司","N/A","33.5848","僅母公司","N/A","N/A","N/A","N/A","0.4950"
"=""3176""","基亞","N/A","N/A","N/A","458.5900","母公司","N/A","N/A","N/A","N/A",""
"=""3178""","公準","443.9650","母公司","母公司","9,099.9355","母公司","母公司","2,190.8502","母公司","母公司","6.3442"
"=""3188""","鑫龍騰","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3191""","雲科","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3202""","樺晟","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3205""","佰研","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3206""","志豐","90.1700","母公司-志豐電子股份有限公司 子公司-東莞志豐電子有限公司、蘇州百豐電子有限公司","儘子公司-東莞志豐電子有限公司、蘇州百豐電子有限公司","1,250.9200","僅子公司-東莞志豐電子有限公司、蘇州百豐電子有限公司","僅子公司-東莞志豐電子有限公司、蘇州百豐電子有限公司","6,016.4200","僅子公司-東莞志豐電子有限公司、蘇州百豐電子有限公司","僅子公司-東莞志豐電子有限公司、蘇州百豐電子有限公司","5.9600"
"=""3207""","耀勝","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3211""","順達","907.2300","大陸子公司","大陸子公司","8,205.0600","大陸子公司","大陸子公司","89,626.2000","大陸子公司","大陸子公司","0.5288"
"=""3213""","茂訊","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3217""","優群","111.0260","母公司","N/A","379.3063","母公司","N/A","N/A","N/A","N/A","0.1632"
"=""3218""","大學光","76.4900","母公司。","N/A","264.1800","母公司。","N/A","N/A","N/A","N/A","0.1060"
"=""3219""","倚強科","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3221""","台嘉碩","192.4946","母公司","母公司","8,445.3746","母公司","母公司","2,532.6122","母公司","母公司","4.5284"
"=""3224""","三顧","34,449.4000","母公司","N/A","463,790.0000","母公司","N/A","N/A","N/A","N/A",""
"=""3226""","至寶電","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3227""","原相","28.1700","母公司","N/A","1,786.8300","母公司","N/A","68.1100","母公司","N/A","0.3105"
"=""3228""","金麗科","N/A","N/A","N/A","151.2870","僅母公司(112/1~112/12)","N/A","N/A","N/A","N/A",""
"=""3230""","錦明","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3232""","昱捷","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3234""","光環","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","17.4000"
