"報告年度:2023","議題:能源管理"
"公司代號","公司名稱","再生能源使用率-再生能源使用率","資料範圍-資料範圍","驗證標準-取得驗證"
"=""5324""","士開","N/A","N/A","N/A"
"=""5328""","華容","N/A","N/A","N/A"
"=""5340""","建榮","N/A","N/A","N/A"
"=""5344""","立衛","N/A","N/A","N/A"
"=""5345""","天揚","N/A","N/A","N/A"
"=""5347""","世界","1.2400%","再生能源用電量12,120MWh / 總能耗量:975,908MWh","ISO 50001"
"=""5348""","正能量智能","N/A","N/A","N/A"
"=""5351""","鈺創","0.0000%","所有廠區","N/A"
"=""5353""","台林","N/A","N/A","N/A"
"=""5355""","佳總","N/A","N/A","N/A"
"=""5356""","協益","N/A","N/A","N/A"
"=""5364""","力麗店","N/A","N/A","N/A"
"=""5371""","中光電","7.0000%","台灣廠區及台灣子公司","ISO 50001"
"=""5381""","合正","N/A","N/A","N/A"
"=""5386""","青雲","N/A","N/A","N/A"
"=""5392""","能率","N/A","N/A","N/A"
"=""5398""","慕康生醫","N/A","N/A","N/A"
"=""5403""","中菲","N/A","N/A","N/A"
"=""5410""","國眾","N/A","N/A","N/A"
"=""5425""","台半","N/A","N/A","ISO 50001"
"=""5426""","振發","N/A","N/A","N/A"
"=""5432""","新門","N/A","N/A","N/A"
"=""5438""","東友","N/A","N/A","N/A"
"=""5439""","高技","N/A","N/A","N/A"
"=""5443""","均豪","N/A","N/A","N/A"
"=""5450""","南良","N/A","N/A","N/A"
"=""5452""","佶優","N/A","N/A","N/A"
"=""5455""","昇益","N/A","N/A","N/A"
"=""5457""","宣德","N/A","N/A","N/A"
"=""5460""","同協","0.0000%","僅母公司","N/A"
"=""5464""","霖宏","N/A","N/A","N/A"
"=""5465""","富驊","N/A","N/A","N/A"
"=""5468""","凱鈺","N/A","N/A","N/A"
"=""5474""","聰泰","N/A","N/A","N/A"
"=""5475""","德宏","N/A","N/A","N/A"
"=""5478""","智冠","N/A","N/A","N/A"
"=""5481""","新華","N/A","N/A","N/A"
"=""5483""","中美晶","0.0030%","母公司，包含：總公司、竹南分公司(竹南廠、二廠)、宜蘭分公司(一廠、三廠)、旭鑫分公司","ISO 50001"
"=""5487""","通泰","N/A","N/A","N/A"
"=""5488""","松普","N/A","N/A","N/A"
"=""5489""","彩富","N/A","N/A","N/A"
"=""5490""","同亨","N/A","N/A","N/A"
"=""5493""","三聯","N/A","N/A","N/A"
"=""5498""","凱崴","N/A","N/A","N/A"
"=""5508""","永信建","N/A","N/A","N/A"
"=""5511""","德昌","N/A","N/A","N/A"
"=""5512""","力麒","N/A","N/A","N/A"
"=""5514""","三豐","N/A","N/A","N/A"
"=""5516""","雙喜","N/A","N/A","N/A"
"=""5520""","力泰","N/A","N/A","N/A"
"=""5523""","豐謙","N/A","N/A","N/A"
"=""5529""","鉅陞","N/A","N/A","N/A"
"=""5530""","龍巖","N/A","N/A","N/A"
"=""5536""","聖暉*","N/A","N/A","ISO 50001"
"=""5543""","桓鼎-KY","N/A","N/A","N/A"
"=""5548""","安倉","N/A","N/A","N/A"
"=""5601""","台聯櫃","N/A","N/A","N/A"
"=""5603""","陸海","N/A","N/A","N/A"
"=""5604""","中連","N/A","N/A","N/A"
"=""5609""","中菲行","N/A","N/A","N/A"
"=""5701""","劍湖山","N/A","N/A","N/A"
"=""5703""","亞都麗緻","N/A","N/A","N/A"
"=""5704""","老爺知","N/A","N/A","N/A"
"=""5864""","致和證","N/A","N/A","N/A"
"=""5878""","台名","N/A","N/A","N/A"
"=""5902""","德記","N/A","N/A","N/A"
"=""5903""","全家","N/A","N/A","N/A"
"=""5904""","寶雅","0.0000%","以營運控制權法執行盤查作業原則，地理位置範圍含下列之辦公室、物流中心及411間分店","N/A"
"=""5905""","南仁湖","N/A","N/A","N/A"
"=""6015""","宏遠證","0.0000%","包含合併財務報表之母子公司","N/A"
"=""6016""","康和證","N/A","N/A","其他(ISO14064-3)"
"=""6020""","大展證","N/A","N/A","N/A"
"=""6021""","美好證","N/A","N/A","N/A"
"=""6023""","元大期貨","22.9800%","全台營運據點","ISO 50001"
"=""6026""","福邦證","N/A","N/A","N/A"
"=""6101""","寬魚國際","N/A","N/A","N/A"
"=""6103""","合邦","N/A","N/A","N/A"
"=""6104""","創惟","N/A","N/A","N/A"
"=""6109""","亞元","N/A","N/A","N/A"
"=""6111""","大宇資","N/A","N/A","N/A"
"=""6113""","亞矽","N/A","N/A","N/A"
"=""6114""","久威","N/A","N/A","N/A"
"=""6118""","建達","N/A","N/A","N/A"
"=""6121""","新普","65.0000%","包含合併財務報表之母子公司","ISO 50001"
"=""6122""","擎邦","N/A","N/A","N/A"
"=""6123""","上奇","N/A","N/A","N/A"
"=""6124""","業強","N/A","N/A","N/A"
"=""6125""","廣運","N/A","N/A","N/A"
"=""6126""","信音","6.5586%","合併財務報表之母子公司","N/A"
"=""6127""","九豪","N/A","N/A","N/A"
"=""6129""","普誠","N/A","N/A","N/A"
"=""6130""","上亞科技","N/A","N/A","N/A"
"=""6134""","萬旭","N/A","N/A","N/A"
"=""6138""","茂達","N/A","N/A","N/A"
"=""6140""","訊達電腦","N/A","N/A","N/A"
"=""6143""","振曜","N/A","N/A","N/A"
"=""6144""","得利影","N/A","N/A","N/A"
"=""6146""","耕興","N/A","N/A","N/A"
"=""6147""","頎邦","0.0100%","僅母公司 (全台灣六處營運據點)","ISO 50001"
"=""6148""","驊宏資","N/A","N/A","N/A"
"=""6150""","撼訊","N/A","N/A","N/A"
"=""6151""","晉倫","N/A","N/A","N/A"
"=""6154""","順發","N/A","N/A","N/A"
"=""6156""","松上","N/A","N/A","N/A"
