"報告年度:2023","議題:功能性委員會"
"公司代號","公司名稱","薪酬委員會席次(席)-薪酬委員會席次(席)","薪酬委員會獨立董事席次(席)-薪酬委員會獨立董事席次(席)","薪酬委員會出席率-薪酬委員會出席率","審計委員會席次(席)-審計委員會席次(席)","審計委員會出席率-審計委員會出席率"
"=""4163""","鐿鈦","3","3","100.00%","3","100.00%"
"=""4167""","松瑞藥","3","3","100.00%","3","100.00%"
"=""4168""","醣聯","3","3","100.00%","3","3.00%"
"=""4171""","瑞基","3","3","100.00%","3","100.00%"
"=""4173""","久裕","3","3","100.00%","3","100.00%"
"=""4174""","浩鼎","3","3","100.00%","3","100.00%"
"=""4175""","杏一","4","4","100.00%","4","100.00%"
"=""4183""","福永生技","3","3","100.00%","3","100.00%"
"=""4188""","安克","4","4","100.00%","4","100.00%"
"=""4192""","杏國","3","3","100.00%","3","100.00%"
"=""4198""","欣大健康","3","3","100.00%","3","100.00%"
"=""4205""","中華食","3","3","100.00%","3","100.00%"
"=""4207""","環泰","3","3","83.00%","3","100.00%"
"=""4303""","信立","3","3","100.00%","3","100.00%"
"=""4304""","勝昱","3","3","88.89%","3","86.67%"
"=""4305""","世坤","3","3","100.00%","3","100.00%"
"=""4401""","東隆興","3","3","88.89%","3","91.67%"
"=""4402""","福大","3","3","100.00%","3","94.44%"
"=""4406""","新昕纖","3","3","100.00%","3","94.44%"
"=""4413""","飛寶企業","3","3","100.00%","3","100.00%"
"=""4416""","三圓","3","3","100.00%","3","100.00%"
"=""4417""","金洲","3","3","100.00%","3","100.00%"
"=""4419""","元勝","3","3","94.44%","3","92.59%"
"=""4420""","光明","3","3","100.00%","3","94.44%"
"=""4430""","耀億","3","3","100.00%","3","100.00%"
"=""4432""","銘旺實","3","2","100.00%","3","93.33%"
"=""4433""","興采","3","3","100.00%","3","100.00%"
"=""4442""","竣邦-KY","3","3","100.00%","3","100.00%"
"=""4502""","健信","2","2","100.00%","2","91.30%"
"=""4503""","金雨","3","2","100.00%","3","100.00%"
"=""4506""","崇友","3","3","100.00%","3","94.44%"
"=""4510""","高鋒","3","3","100.00%","3","100.00%"
"=""4513""","福裕","3","3","100.00%","3","100.00%"
"=""4523""","永彰","3","3","100.00%","3","96.67%"
"=""4527""","方方土霖","4","4","100.00%","4","100.00%"
"=""4528""","江興鍛","4","4","100.00%","4","100.00%"
"=""4529""","淳紳","3","3","100.00%","3","100.00%"
