"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-廢棄物密集度","密集度單位-密集度單位","驗證標準-取得驗證"
"=""8255""","朋程","198.5800","395.3100","593.8900","母公司","0.0022","其他(公噸/K-pcs)","N/A"
"=""8277""","商丞","0.0000","10.4600","10.4600","包含合併財務報表之母子公司","0.0392","廢棄物量/百萬元營業額","N/A"
"=""8279""","生展","40.6900","503.8600","544.5500","僅母公司","0.2964","廢棄物量/百萬元營業額","N/A"
"=""8284""","三竹","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8289""","泰藝","0.3400","9.6000","9.9400","工廠內產出","N/A","N/A","N/A"
"=""8291""","尚茂","3.8600","13.7670","17.6270","僅本公司","N/A","N/A","N/A"
"=""8299""","群聯","57.1000","338.2700","395.3700","僅母公司","0.0082","廢棄物量/百萬元營業額","ISO 9001,ISO 14001"
"=""8342""","益張","0.0000","25.5332","25.5332","僅母公司2022/1/1~2022/12/31","0.0183","廢棄物量/百萬元營業額","N/A"
"=""8349""","恒耀國際","0.0000","198.4100","198.4100","無機性汙泥、廢油混合物、非有害有機廢溶劑、生活垃圾。 ","N/A","N/A","N/A"
"=""8354""","冠好","N/A","N/A","N/A","N/A","N/A","N/A","ISO 14001"
"=""8358""","金居","1,232.9300","386.3200","1,619.2500","112.1.1~112.12.31. 僅母公司.","0.2625","廢棄物量/百萬元營業額","ISO 14001"
"=""8383""","千附","0.0000","161.3000","161.3000","千附實業公司","0.1291","廢棄物量/百萬元營業額","N/A"
"=""8390""","金益鼎","91.6800","1,133.6600","1,225.3400","112.1.1~112.12.31","0.5093","廢棄物量/百萬元營業額","ISO 14001"
"=""8401""","白紗科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8403""","盛弘","0.0000","2.2900","2.2900","桃園市桃園區經國路168號B2、B3、23F","0.0010","廢棄物量/百萬元營業額","N/A"
"=""8409""","商之器","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8410""","森田","0.8100","1,075.0000","1,075.8100","本公司","N/A","N/A","ISO 14001"
"=""8415""","大國鋼","0.0000","0.0000","0.0000","母公司及子公司大帝國","0.0000","廢棄物量/百萬元營業額","N/A"
"=""8416""","實威","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8421""","旭源","0.0000","900.6000","900.6000","D-0299 703.3噸 D-2405- 4.79T D-2399- 1.03T R-0201-149.1T R0701 -42.4T","N/A","N/A","N/A"
"=""8423""","保綠-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8424""","惠普","0.0000","32.3300","32.3300","惠普股份有限公司","0.0000","其他(千元營業額)","N/A"
"=""8426""","紅木-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8431""","匯鑽科","579.1190","6.2860","585.4050","深圳廠區","N/A","N/A","N/A"
"=""8432""","東生華","0.0300","1.8400","1.8700","僅母公司","0.0023","廢棄物量/百萬元營業額","N/A"
"=""8433""","弘帆","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8435""","鉅邁","50.5700","9.2700","59.8400","母公司","0.0130","廢棄物量/產品","N/A"
"=""8436""","大江","0.0000","1,810.0000","1,810.0000","大江生醫股份有限公司農科廠區及美膚廠區 登記地址為屏東縣長治鄉神農路12號、屏東縣長治鄉農科路21號","0.2300","廢棄物量/百萬元營業額","N/A"
"=""8437""","大地-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8440""","綠電","32.0350","3,856.4210","3,888.4560","台北總公司，楊梅廠及楊梅二廠。","N/A","N/A","N/A"
"=""8444""","綠河-KY","0.0000","155.3300","155.3300","以子公司泰國GPT公司與GP公司為主","0.0002","廢棄物量/產品","N/A"
"=""8446""","華研","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8450""","霹靂","N/A","N/A","150.0000","母公司","0.9554","廢棄物量/百萬元營業額","N/A"
"=""8455""","大拓-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8472""","夠麻吉","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8477""","創業家","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8489""","三貝德","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8905""","裕國","0.0000","110.8300","110.8300","北區三廠、台中廠、南投廠、仁武廠","N/A","N/A","N/A"
"=""8908""","欣雄","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8916""","光隆","0.5000","401.3000","401.8000","總公司、中壢廠、宜蘭廠、上海辦公室、共隆廠、湄公一廠、湄公二廠、博興廠、泰德廠、大阪辦公室、首爾辦公室","0.0521","廢棄物量/百萬元營業額","ISO 14001"
"=""8917""","欣泰","0.0000","15.9900","15.9900","五股、土城公司廢棄物處理量","N/A","N/A","N/A"
"=""8921""","沈氏","0.0000","1,399.0970","1,399.0970","母公司","7.2600","其他(噸/百萬產值)","N/A"
"=""8923""","時報","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8924""","大田","75.2000","998.5500","1,073.7500","包含合併財務報表之母子公司之全年度廢棄物統計","0.4401","其他(員工人數(人均))","N/A"
"=""8927""","北基","0.0000","5.0500","5.0500","母公司(總部及各營運站點)","N/A","N/A","N/A"
"=""8928""","鉅明","21.4100","1,740.4300","1,761.8400","鉅明所有廠區","0.0006","廢棄物量/百萬元營業額","N/A"
"=""8929""","富堡","0.0000","15.2000","15.2000","僅母公司","0.0314","廢棄物量/百萬元營業額","ISO 14001"
"=""8930""","青鋼","0.0000","1,113.4500","1,113.4500","母公司","0.7291","廢棄物量/百萬元營業額","N/A"
"=""8931""","大汽電","0.0000","41,134.0000","41,134.0000","全公司","17.7200","廢棄物量/百萬元營業額","N/A"
"=""8932""","智通","0.0000","68.4000","68.4000","僅龍潭廠區","N/A","N/A","N/A"
"=""8933""","愛地雅","0.0000","14.5800","14.5800","母公司","N/A","N/A","N/A"
"=""8935""","邦泰","0.0000","43.5600","43.5600","台中市潭子區豐興路二段龍興巷23-6號","N/A","N/A","ISO 14001"
"=""8936""","國統","0.1400","4,093.8400","4,093.9800","合併財務報表之母子公司","0.9907","廢棄物量/百萬元營業額","N/A"
"=""8937""","合騏","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""8938""","明安","7.8714","1,587.9806","1,595.8520","僅母公司","0.1100","廢棄物量/百萬元營業額","N/A"
"=""8941""","關中","N/A","N/A","2.1060","112年度","N/A","N/A","N/A"
"=""8942""","森鉅","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""9949""","琉園","0.0000","2.2000","2.2000","僅母公司(臺灣地區之辦公室+倉庫)","0.0155","廢棄物量/百萬元營業額","N/A"
"=""9950""","萬國通","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""9951""","皇田","0.0570","96.4600","96.5170","僅母公司","0.0363","廢棄物量/百萬元營業額","N/A"
"=""9960""","邁達康","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""9962""","有益","60.9900","147.2100","208.2000","母公司","0.0595","廢棄物量/百萬元營業額","N/A"
