"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-廢棄物密集度","密集度單位-密集度單位","驗證標準-取得驗證"
"=""3339""","泰谷","123.6512","156.0000","279.6512","母公司","281.4900","廢棄物量/百萬元營業額","ISO 14001"
"=""3349""","寶德","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3354""","律勝","60.7900","39.8140","100.6040","廢棄物產能申報","0.0010","其他(千元營業額)","N/A"
"=""3357""","臺慶科","517.9210","130.4660","648.3670","母公司台灣廠","20.9600","廢棄物量/百萬元營業額","N/A"
"=""3360""","尚立","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3362""","先進光","N/A","189,709.0000","189,709.0000","母公司,組織邊界劃分","0.0047","廢棄物量/百萬元營業額","N/A"
"=""3363""","上詮","N/A","N/A","0.0000","N/A","N/A","N/A","N/A"
"=""3372""","典範","41.4450","85.3500","126.7950","112年全年度廢棄物聯單申報量。","0.1470","廢棄物量/百萬元營業額","ISO 14001"
"=""3373""","熱映","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3374""","精材","448.6770","597.0900","1,045.7670","僅母公司","0.1637","廢棄物量/百萬元營業額","ISO 14001"
"=""3379""","彬台","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3388""","崇越電","N/A","43.4880","43.4880","台北辦公室","0.0167","廢棄物量/百萬元營業額","N/A"
"=""3390""","旭軟","N/A","N/A","N/A","N/A","N/A","N/A","ISO 9001,ISO 14001"
"=""3402""","漢科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3426""","台興","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3430""","奇鈦科","143.1600","532.3900","675.5500","僅母公司","0.4700","其他(年度廢棄物公噸/ 年度產量公噸)","ISO 14001"
"=""3434""","哲固","0.7100","10.4000","11.1100","112年度","N/A","N/A","N/A"
"=""3438""","類比科","N/A","3.0410","3.0410","個體公司","0.0034","廢棄物量/百萬元營業額","N/A"
"=""3441""","聯一光電","0.0000","0.7900","0.7900","母公司","N/A","N/A","N/A"
"=""3444""","利機","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3455""","由田","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3465""","進泰電子","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3466""","德晉","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3479""","安勤","0.4520","3.5880","4.0400","新北中和總部立德工廠","N/A","N/A","ISO 14001"
"=""3483""","力致","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3484""","崧騰","24.3640","157.4000","180.7640","母公司及合併財報子公司","N/A","N/A","N/A"
"=""3489""","森寶","N/A","6.1400","6.1400","僅包含母公司數據","0.0011","其他(出租面積(平方米))","N/A"
"=""3490""","單井","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3491""","昇達科","0.0000","34.0000","34.0000","母公司","0.0000","廢棄物量/百萬元營業額","N/A"
"=""3492""","長盛","0.0000","3.6146","3.6146","包含合併財務報表之母子公司。","0.0050","其他(廢棄物量 / 千元營業額 )","N/A"
"=""3498""","陽程","N/A","19.9300","19.9300","僅母公司。","0.0166","廢棄物量/百萬元營業額","N/A"
"=""3499""","環天科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3508""","位速","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3511""","矽瑪","0.3470","38.1770","38.5240","母公司","N/A","N/A","N/A"
"=""3512""","皇龍","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3516""","亞帝歐","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3520""","華盈","0.0000","160.3150","160.3150","華盈集團","0.1917","廢棄物量/百萬元營業額","N/A"
"=""3521""","鴻翊","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3522""","御頂","0.0000","62.8050","62.8050","御頂全集團","0.0855","廢棄物量/百萬元營業額","N/A"
"=""3523""","迎輝","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3526""","凡甲","1.0000","178.4300","179.4300","包含合併財務報表之母子公司","3.5300","其他(kg/m2)","N/A"
"=""3527""","聚積","1.7120","2.8370","4.5490","僅母公司","0.0026","廢棄物量/百萬元營業額","N/A"
"=""3529""","力旺","0.0000","14.6140","14.6140","母公司","0.0048","廢棄物量/百萬元營業額","N/A"
"=""3531""","先益","0.1510","45.5840","45.7350","母公司","0.0384","廢棄物量/百萬元營業額","N/A"
"=""3537""","堡達","N/A","N/A","0.0000","N/A","N/A","N/A","N/A"
"=""3540""","曜越","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3541""","西柏","0.3660","6.9285","7.2945","母公司(公司+工廠)","0.0054","廢棄物量/百萬元營業額","ISO 14001"
"=""3546""","宇峻","0.0000","0.5489","0.5489","生活垃圾+回收","1.1580","其他(清運數量)","N/A"
"=""3548""","兆利","0.0000","273.9300","273.9300","台灣廠區及大陸廠區","0.0333","廢棄物量/百萬元營業額","ISO 14001"
"=""3551""","世禾","1,275.7213","838.9218","2,114.6431","世禾復興廠+新竹廠+台南一廠+光復廠一廠+台南二廠+光復二廠","0.9244","廢棄物量/百萬元營業額","ISO 14001"
"=""3552""","同致","4.4470","37.0499","41.4974","桃園廠","N/A","N/A","ISO 14001"
"=""3555""","博士旺","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3556""","禾瑞亞","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3558""","神準","48.3500","208.8670","257.2170","母公司華亞廠","0.0179","廢棄物量/百萬元營業額","N/A"
"=""3564""","其陽","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3567""","逸昌","0.1102","8.7600","8.8702","全廠區","0.0222","廢棄物量/百萬元營業額","ISO 14001"
"=""3570""","大塚","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3577""","泓格","0.0000","20.0000","20.0000","泓格總公司","N/A","N/A","N/A"
"=""3580""","友威科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3581""","博磊","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3587""","閎康","3.6783","6.2361","9.9144","閎康科技府份有限公司、閎康科技股份有限公司竹科分公司、閎康科技股份有限公司南科分公司","N/A","N/A","N/A"
